date,year,home_team,away_team,home_team_clean,away_team_clean,tournament,home_matches_before,away_matches_before,matches_before_diff,home_win_rate_before,away_win_rate_before,win_rate_diff,home_draw_rate_before,away_draw_rate_before,draw_rate_diff,home_avg_goals_for_before,away_avg_goals_for_before,avg_goals_for_diff,home_avg_goals_against_before,away_avg_goals_against_before,avg_goals_against_diff,home_goal_diff_per_match_before,away_goal_diff_per_match_before,goal_diff_per_match_diff,is_neutral,is_world_cup,is_friendly,result,_row_id,home_fifa_ref_date,home_fifa_rank,home_fifa_total_points,away_fifa_ref_date,away_fifa_rank,away_fifa_total_points,home_ref_date,home_elo,away_ref_date,away_elo,fifa_rank_advantage,fifa_points_diff,elo_diff,is_qualifier,is_nations_league,is_continental_cup,rank_gap_abs,home_rank_strength,away_rank_strength,rank_strength_diff,home_is_top10,away_is_top10,top10_diff,home_is_top25,away_is_top25,top25_diff,attack_form_diff,form_score_diff
2018-03-23,2018,Bulgaria,Bosnia and Herzegovina,bulgaria,bosnia and herzegovina,Friendly,0,2,-2,0.5,0.0,0.5,0.25,0.5,-0.25,1.0,0.0,1.0,1.0,0.5,0.5,0.0,-0.5,0.5,0,0,1,0,48,2018-03-15,40.0,714.75,2018-03-15,41.0,700.09,,,,,1.0,14.659999999999968,,0,0,0,1.0,0.025,0.024390243902439025,0.0006097560975609762,0,0,0,0,0,0,0.5,0.35000000000000003
2018-03-23,2018,Greece,Switzerland,greece,switzerland,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,49,2018-03-15,45.0,685.14,2018-03-15,8.0,1196.61,,,,,-37.0,-511.4699999999999,,0,0,0,37.0,0.022222222222222223,0.125,-0.10277777777777777,0,1,-1,0,1,-1,0.0,0.0
2018-03-23,2018,Germany,Spain,germany,spain,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,50,2018-03-15,1.0,1609.01,2018-03-15,6.0,1228.0,,,,,5.0,381.01,,0,0,0,5.0,1.0,0.16666666666666666,0.8333333333333334,1,1,0,1,1,0,0.0,0.0
2018-03-23,2018,Hungary,Kazakhstan,hungary,kazakhstan,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,52,2018-03-15,50.0,637.3,2018-03-15,136.0,223.03,,,,,86.0,414.27,,0,0,0,86.0,0.02,0.007352941176470588,0.012647058823529412,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,France,Colombia,france,colombia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,53,2018-03-15,9.0,1185.16,2018-03-15,13.0,1105.82,,,,,4.0,79.34000000000015,,0,0,0,4.0,0.1111111111111111,0.07692307692307693,0.03418803418803418,1,0,1,1,1,0,0.0,0.0
2018-03-23,2018,Italy,Argentina,italy,argentina,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,0,54,2018-03-15,14.0,1061.93,2018-03-15,4.0,1359.36,,,,,-10.0,-297.42999999999984,,0,0,0,10.0,0.07142857142857142,0.25,-0.17857142857142858,0,1,-1,1,1,0,0.0,0.0
2018-03-23,2018,Gambia,Central African Republic,gambia,central african republic,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,55,2018-03-15,164.0,119.52,2018-03-15,121.0,265.63,,,,,-43.0,-146.11,,0,0,0,43.0,0.006097560975609756,0.008264462809917356,-0.0021669018343075993,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Mexico,Iceland,mexico,iceland,Friendly,1,2,-1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-4.0,0.0,0.5,-0.5,1.0,4.5,-3.5,1,0,1,2,56,2018-03-15,17.0,1038.2,2018-03-15,18.0,1026.4,,,,,1.0,11.799999999999955,,0,0,0,1.0,0.058823529411764705,0.05555555555555555,0.0032679738562091526,0,0,0,1,1,0,-3.5,-0.875
2018-03-23,2018,Scotland,Costa Rica,scotland,costa rica,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,58,2018-03-15,32.0,796.94,2018-03-15,26.0,871.88,2018-03-23,1991.0,,,-6.0,-74.93999999999994,,0,0,0,6.0,0.03125,0.038461538461538464,-0.007211538461538464,0,0,0,0,0,0,0.0,0.0
2018-03-23,2018,Uruguay,Czech Republic,uruguay,czechia,Friendly,0,0,0,0.5,0.5,0.0,0.25,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,1,2,59,2018-03-15,22.0,931.17,2018-03-15,43.0,689.91,,,,,21.0,241.26,,0,0,0,21.0,0.045454545454545456,0.023255813953488372,0.022198731501057084,0,0,0,1,0,1,0.0,0.0
